Cheyenne County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
200807,61.6,-0.6
200808,61.4,1.1
200809,49.0,-1.9
200810,38.9,1.2
200811,29.4,3.2
200812,13.7,-3.8
200901,19.2,2.0
200902,22.0,2.6
200903,25.1,-2.6
200904,35.2,-0.3
200905,47.8,1.6
200906,55.8,-0.4
200907,60.3,-1.9
200908,58.0,-2.3
200909,49.7,-1.2
200910,32.6,-5.1
200911,29.5,3.3
200912,12.0,-5.5
201001,17.4,0.2
201002,17.7,-1.7
201003,27.9,0.2
201004,37.4,1.9
201005,43.0,-3.2
201006,57.7,1.5
201007,62.9,0.7
201008,61.6,1.3
201009,50.0,-0.9
201010,38.9,1.2
201011,24.8,-1.4
201012,18.2,0.7
201101,14.3,-2.9
201102,12.8,-6.6
201103,26.7,-1.0
201104,36.0,0.5
201105,42.5,-3.7
201106,55.7,-0.5
201107,64.9,2.7
201108,62.6,2.3
201109,47.2,-3.7
201110,38.2,0.5
201111,24.6,-1.6
201112,17.5,0.0
201201,18.3,1.1
201202,20.2,0.8
201203,33.0,5.3
201204,41.5,6.0
201205,46.5,0.3
201206,59.5,3.3
201207,64.5,2.3
201208,58.4,-1.9
201209,48.8,-2.1
201210,35.7,-2.0
201211,25.1,-1.1
201212,14.6,-2.9
201301,15.6,-1.6
201302,18.5,-0.9
201303,23.4,-4.3
201304,30.2,-5.3
201305,46.1,-0.1
201306,55.4,-0.8
201307,61.2,-1.0
201308,62.1,1.8
201309,56.0,5.1
201310,37.5,-0.2
201311,25.6,-0.6
201312,13.8,-3.7
201401,16.6,-0.6
201402,14.2,-5.2
201403,26.3,-1.4
201404,36.4,0.9
201405,45.5,-0.7
201406,56.2,0.0
201407,61.5,-0.7
201408,60.5,0.2
201409,52.5,1.6
201410,39.6,1.9
201411,21.8,-4.4
201412,18.3,0.8
201501,18.2,1.0
201502,20.2,0.8
201503,29.1,1.4
201504,37.2,1.7
201505,46.3,0.1
201506,59.0,2.8
201507,61.8,-0.4
201508,59.2,-1.1
201509,55.6,4.7
201510,42.8,5.1
201511,27.4,1.2
201512,22.0,4.5
201601,18.6,1.4
201602,25.1,5.7
201603,29.8,2.1
201604,36.6,1.1
201605,45.3,-0.9
201606,58.9,2.7
201607,63.2,1.0
201608,58.3,-2.0
201609,51.5,0.6
201610,39.5,1.8
201611,30.1,3.9
201612,13.0,-4.5
201701,17.5,0.3
201702,24.7,5.3
201703,30.3,2.6
201704,38.9,3.4
201705,45.3,-0.9
201706,56.8,0.6
201707,63.5,1.3
201708,58.0,-2.3
201709,51.0,0.1
201710,38.0,0.3
201711,29.4,3.2
201712,16.8,-0.7
201801,15.4,-1.8
201802,14.9,-4.5
201803,27.4,-0.3
201804,30.6,-4.9
201805,50.8,4.6
201806,59.7,3.5
201807,62.7,0.5
201808,57.9,-2.4
201809,54.5,3.6
201810,36.2,-1.5
201811,24.5,-1.7
201812,19.6,2.1
201901,20.0,2.8
201902,12.2,-7.2
201903,23.7,-4.0
201904,35.3,-0.2
201905,42.4,-3.8
201906,54.1,-2.1
201907,62.7,0.5
201908,62.0,1.7
201909,55.7,4.8
201910,31.3,-6.4
201911,24.4,-1.8
